date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:02:13	100/100	---M-Z	200	added ('OK')	text/plain	etag:%22ff534ba85db8c3651ea7ad4a7758760c%22	https://leapuzo.framer.website/robots.txt		(from )
10:02:15	830423/830423	---M-Z	200	added ('OK')	text/html	etag:%22fa15cca6f83adc38ab5ab7934c342eea%22	https://leapuzo.framer.website/	C:/My%20Web%20Sites/LEAPUZOO/leapuzo.framer.website/index.html	(from )
10:02:16	43222/43222	---MC-	200	added ('OK')	image/png	etag:%22e46762834058c57bdded570b7fd0cbf9%22	https://framerusercontent.com/images/vjHX4CJivVbQ5m5Wm15wBLhlxbU.png	C:/My%20Web%20Sites/LEAPUZOO/framerusercontent.com/images/vjHX4CJivVbQ5m5Wm15wBLhlxbU.png	(from https://leapuzo.framer.website/)
10:02:16	288201/288201	---MC-	200	added ('OK')	image/png	etag:%22809a0575f0a64194754470166f5cb849%22	https://framerusercontent.com/images/Sq7Fh9MTlW0nIVVkWFqiMXfEm04.png	C:/My%20Web%20Sites/LEAPUZOO/framerusercontent.com/images/Sq7Fh9MTlW0nIVVkWFqiMXfEm04.png	(from https://leapuzo.framer.website/)
10:02:16	8131/8131	---MC-	200	added ('OK')	image/png	etag:%228c7d2b5849ad2d2ad79dd02cc7d972a2%22	https://framerusercontent.com/images/AOtnZGjeEE7Cc5iQLvSLsz4vaQ.png	C:/My%20Web%20Sites/LEAPUZOO/framerusercontent.com/images/AOtnZGjeEE7Cc5iQLvSLsz4vaQ.png	(from https://leapuzo.framer.website/)
10:02:17	288201/288201	---MC-	200	added ('OK')	image/png	etag:%22809a0575f0a64194754470166f5cb849%22	https://framerusercontent.com/images/Sq7Fh9MTlW0nIVVkWFqiMXfEm04.png?width=6375&height=4250	C:/My%20Web%20Sites/LEAPUZOO/framerusercontent.com/images/Sq7Fh9MTlW0nIVVkWFqiMXfEm044f4d.png	(from https://leapuzo.framer.website/)
10:02:17	505285/505285	---M-Z	200	added ('OK')	text/html	etag:%22cdc7106424813d3c6bff78c535b505eb%22	https://leapuzo.framer.website/about	C:/My%20Web%20Sites/LEAPUZOO/leapuzo.framer.website/about.html	(from https://leapuzo.framer.website/)
10:02:19	732570/732570	---M-Z	200	added ('OK')	text/html	etag:%225906c7f6015a04a72a916c43cd063cd9%22	https://leapuzo.framer.website/services	C:/My%20Web%20Sites/LEAPUZOO/leapuzo.framer.website/services.html	(from https://leapuzo.framer.website/)
10:02:20	517102/517102	---M-Z	200	added ('OK')	text/html	etag:%2299dfe2b0de7ef7d8b6808790940babf0%22	https://leapuzo.framer.website/careers	C:/My%20Web%20Sites/LEAPUZOO/leapuzo.framer.website/careers.html	(from https://leapuzo.framer.website/)
10:02:20	294690/294690	---M-Z	200	added ('OK')	text/html	etag:%22688008b45cc665543151b3b83ee30c53%22	https://leapuzo.framer.website/contact	C:/My%20Web%20Sites/LEAPUZOO/leapuzo.framer.website/contact.html	(from https://leapuzo.framer.website/)
